Tamanho_entrada,Tempo_execucao
10,4.842599810217507e-05
20,5.941199924563989e-05
40,0.00012049400174873881
80,0.00023382599829346873
160,0.0005174090001673903
320,0.0011686100006045308
640,0.0024338520015589893
1280,0.005126564999955008
2560,0.04680305700094323
5120,0.024417545999313006
10240,0.05424646000028588
20480,0.12313368400282343
40960,0.3348781139975472
81920,0.8753438189996814
163840,2.1183539849989756
327680,4.84677385300165
655360,9.703339485997276
1310720,24.74772813099844
2621440,43.909520031000284
5242880,96.99223419500049
